No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Cilacap;3301;Kab. Cilacap;33.01
2;Banyumas;3302;Kab. Banyumas;33.02
3;Purbalingga;3303;Kab. Purbalingga;33.03
4;Banjarnegara;3304;Kab. Banjarnegara;33.04
5;Kebumen;3305;Kab. Kebumen;33.05
6;Purworejo;3306;Kab. Purworejo;33.06
7;Wonosobo;3307;Kab. Wonosobo;33.07
8;Magelang;3308;Kab. Magelang;33.08
9;Boyolali;3309;Kab. Boyolali;33.09
10;Klaten;3310;Kab. Klaten;33.10
11;Sukoharjo;3311;Kab. Sukoharjo;33.11
12;Wonogiri;3312;Kab. Wonogiri;33.12
13;Karanganyar;3313;Kab. Karanganyar;33.13
14;Sragen;3314;Kab. Sragen;33.14
15;Grobogan;3315;Kab. Grobogan;33.15
16;Blora;3316;Kab. Blora;33.16
17;Rembang;3317;Kab. Rembang;33.17
18;Pati;3318;Kab. Pati;33.18
19;Kudus;3319;Kab. Kudus;33.19
20;Jepara;3320;Kab. Jepara;33.20
21;Demak;3321;Kab. Demak;33.21
22;Semarang;3322;Kab. Semarang;33.22
23;Temanggung;3323;Kab. Temanggung;33.23
24;Kendal;3324;Kab. Kendal;33.24
25;Batang;3325;Kab. Batang;33.25
26;Pekalongan;3326;Kab. Pekalongan;33.26
27;Pemalang;3327;Kab. Pemalang;33.27
28;Tegal;3328;Kab. Tegal;33.28
29;Brebes;3329;Kab. Brebes;33.29
30;Magelang;3371;Kota Magelang;33.71
31;Surakarta;3372;Kota Surakarta;33.72
32;Salatiga;3373;Kota Salatiga;33.73
33;Semarang;3374;Kota Semarang;33.74
34;Pekalongan;3375;Kota Pekalongan;33.75
35;Tegal;3376;Kota Tegal;33.76
