No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lalung;3313090001;Lalung;33.13.09.1001
2;Bolong;3313090002;Bolong;33.13.09.1002
3;Jantiharjo;3313090003;Jantiharjo;33.13.09.1003
4;Tegalgede;3313090004;Tegalgede;33.13.09.1004
5;Jungke;3313090005;Jungke;33.13.09.1005
6;Cangakan;3313090006;Cangakan;33.13.09.1006
7;Karanganyar;3313090007;Karanganyar;33.13.09.1007
8;Bejen;3313090008;Bejen;33.13.09.1008
9;Popongan;3313090009;Popongan;33.13.09.1009
10;Gayamdompo;3313090010;Gayamdompo;33.13.09.1010
11;Delingan;3313090011;Delingan;33.13.09.1011
12;Gedong;3313090012;Gedong;33.13.09.1012
