No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Beteng;3310220001;Beteng;33.10.20.2001
2;Randulanang;3310220002;Randulanang;33.10.20.2002
3;Mranggen;3310220003;Mranggen;33.10.20.2003
4;Jemawan;3310220004;Jemawan;33.10.20.2004
5;Gedaren;3310220005;Gedaren;33.10.20.2005
6;Cawan;3310220006;Cawan;33.10.20.2006
7;Tibayan;3310220007;Tibayan;33.10.20.2007
8;Bengking;3310220008;Bengking;33.10.20.2008
9;Temuireng;3310220009;Temuireng;33.10.20.2009
10;Bandungan;3310220010;Bandungan;33.10.20.2010
11;Kayumas;3310220011;Kayumas;33.10.20.2011
12;Socokangsi;3310220012;Socokangsi;33.10.20.2012
13;Glagah;3310220013;Glagah;33.10.20.2013
14;Krajan;3310220014;Krajan;33.10.20.2014
15;Jatinom;3310220015;Jatinom;33.10.20.1015
16;Bonyokan;3310220016;Bonyokan;33.10.20.2016
17;Pandeyan;3310220017;Pandeyan;33.10.20.2017
18;Puluhan;3310220018;Puluhan;33.10.20.2018
