No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Dampit;3308160001;Dampit;33.08.21.2014
2;Tanjungsari;3308160002;Tanjungsari;33.08.21.2008
3;Pasangsari;3308160003;Pasangsari;33.08.21.2002
4;Kembangkuning;3308160004;Kembangkuning;33.08.21.2007
5;Balesari;3308160005;Balesari;33.08.21.2006
6;Banjarsari;3308160006;Banjarsari;33.08.21.2005
7;Bandarsedayu;3308160007;Bandarsedayu;33.08.21.2004
8;Windusari;3308160008;Windusari;33.08.21.2001
9;Candisari;3308160009;Candisari;33.08.21.2003
10;Genito;3308160010;Genito;33.08.21.2010
11;Wonoroto;3308160011;Wonoroto;33.08.21.2009
12;Girimulyo;3308160012;Girimulyo;33.08.21.2015
13;Ngemplak;3308160013;Ngemplak;33.08.21.2016
14;Kalijoso;3308160014;Kalijoso;33.08.21.2018
15;Gunungsari;3308160015;Gunungsari;33.08.21.2017
16;Mangunsari;3308160016;Mangunsari;33.08.21.2019
17;Kentengsari;3308160017;Kentengsari;33.08.21.2011
18;Umbulsari;3308160018;Umbulsari;33.08.21.2012
19;Semen;3308160019;Semen;33.08.21.2013
20;Gondangrejo;3308160020;Gondangrejo;33.08.21.2020
