No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wedusan;3318210001;Wedusan;33.18.20.2001
2;Grogolan;3318210002;Grogolan;33.18.20.2009
3;Dumpil;3318210003;Dumpil;33.18.20.2002
4;Bakalan;3318210004;Bakalan;33.18.20.2004
5;Ngagel;3318210005;Ngagel;33.18.20.2003
6;Kenanti;3318210006;Kenanti;33.18.20.2005
7;Alasdowo;3318210007;Alasdowo;33.18.20.2006
8;Banyutowo;3318210008;Banyutowo;33.18.20.2007
9;Dukuhseti;3318210009;Dukuhseti;33.18.20.2008
10;Kembang;3318210010;Kembang;33.18.20.2010
11;Tegalombo;3318210011;Tegalombo;33.18.20.2011
12;Puncel;3318210012;Puncel;33.18.20.2012
