No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pakem;3318010001;Pakem;33.18.01.2002
2;Prawoto;3318010002;Prawoto;33.18.01.2001
3;Wegil;3318010003;Wegil;33.18.01.2003
4;Kuwawur;3318010004;Kuwawur;33.18.01.2004
5;Porang Paring;3318010005;Porangparing;33.18.01.2008
6;Sumbersoko;3318010006;Sumbersoko;33.18.01.2012
7;Tompegunung;3318010007;Tompegunung;33.18.01.2013
8;Kedumulyo;3318010008;Kedumulyo;33.18.01.2014
9;Gadudero;3318010009;Gadudero;33.18.01.2011
10;Sukolilo;3318010010;Sukolilo;33.18.01.2009
11;Kedungwinong;3318010011;Kedungwinong;33.18.01.2007
12;Baleadi;3318010012;Baleadi;33.18.01.2005
13;Wotan;3318010013;Wotan;33.18.01.2006
14;Baturejo;3318010014;Baturejo;33.18.01.2010
15;Kasiyan;3318010015;Kasiyan;33.18.01.2015
16;Cengkalsewu;3318010016;Cengkalsewu;33.18.01.2016
