No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Longkeyang;3327050001;Longkeyang;33.27.05.2001
2;Jatingarang;3327050002;Jatingarang;33.27.05.2002
3;Gunungbatu;3327050003;Gunungbatu;33.27.05.2003
4;Pasir;3327050004;Pasir;33.27.05.2004
5;Kwasen;3327050005;Kwasen;33.27.05.2005
6;Jatiroyom;3327050006;Jatiroyom;33.27.05.2006
7;Parunggalih;3327050007;Parunggalih;33.27.05.2007
8;Payung;3327050008;Payung;33.27.05.2008
9;Cangak;3327050009;Cangak;33.27.05.2009
10;Kebandungan;3327050010;Kebandungan;33.27.05.2010
11;Kesesirejo;3327050011;Kesesirejo;33.27.05.2011
12;Babakan;3327050012;Babakan;33.27.05.2012
13;Karangbrai;3327050013;Karangbrai;33.27.05.2013
14;Jraganan;3327050014;Jraganan;33.27.05.2014
15;Kebandaran;3327050015;Kebandaran;33.27.05.2015
16;Bodeh;3327050016;Bodeh;33.27.05.2016
17;Muncang;3327050017;Muncang;33.27.05.2017
18;Kelangdepok;3327050018;Kelangdepok;33.27.05.2018
19;Pendowo;3327050019;Pendowo;33.27.05.2019
