No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Penggarit;3327090001;Penggarit;33.27.09.2001
2;Pener;3327090002;Pener;33.27.09.2002
3;Gondang;3327090003;Gondang;33.27.09.2004
4;Jrakah;3327090004;Jrakah;33.27.09.2003
5;Sokawangi;3327090005;Sokawangi;33.27.09.2005
6;Kejambon;3327090006;Kejambon;33.27.09.2006
7;Jebed Selatan;3327090007;Jebed Selatan;33.27.09.2021
8;Jebed Utara;3327090008;Jebed Utara;33.27.09.2007
9;Cibelok;3327090009;Cibelok;33.27.09.2008
10;Kaligelang;3327090010;Kaligelang;33.27.09.2014
11;Banjardawa;3327090011;Banjardawa;33.27.09.2009
12;Banjaran;3327090012;Banjaran;33.27.09.2010
13;Sitemu;3327090013;Sitemu;33.27.09.2011
14;Pedurungan;3327090014;Pedurungan;33.27.09.2012
15;Taman;3327090015;Taman;33.27.09.2013
16;Wanarejan Selatan;3327090016;Wanarejan Selatan;33.27.09.1015
17;Wanarejan Utara;3327090017;Wanarejan Utara;33.27.09.2020
18;Beji;3327090018;Beji;33.27.09.1016
19;Kabunan;3327090019;Kabunan;33.27.09.2017
20;Asemdoyong;3327090020;Asemdoyong;33.27.09.2018
21;Kedungbanjar;3327090021;Kedungbanjar;33.27.09.2019
