No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kedung Pucang;3306160001;Kedungpucang;33.06.16.2004
2;Kali Urip;3306160002;Kaliurip;33.06.16.2007
3;Kaliwader;3306160003;Kaliwader;33.06.16.2003
4;Kalitapas;3306160004;Kalitapas;33.06.16.2002
5;Benowo;3306160005;Benowo;33.06.16.2001
6;Cacaban Kidul;3306160006;Cacaban Kidul;33.06.16.2010
7;Cacaban Lor;3306160007;Cacaban Lor;33.06.16.2011
8;Wadas;3306160008;Wadas;33.06.16.2009
9;Kedung Loteng;3306160009;Kedungloteng;33.06.16.2008
10;Bener;3306160010;Bener;33.06.16.2015
11;Kaliboto;3306160011;Kaliboto;33.06.16.2006
12;Sendangsari;3306160012;Sendangsari;33.06.16.2005
13;Karang Sari;3306160013;Karangsari;33.06.16.2016
14;Guntur;3306160014;Guntur;33.06.16.2017
15;Legetan;3306160015;Legetan;33.06.16.2018
16;Ketosari;3306160016;Ketosari;33.06.16.2019
17;Kamijoro;3306160017;Kamijoro;33.06.16.2020
18;Bleber;3306160018;Bleber;33.06.16.2014
19;Pekacangan;3306160019;Pekacangan;33.06.16.2012
20;Medono;3306160020;Medono;33.06.16.2013
21;Jati;3306160021;Jati;33.06.16.2021
22;Mayung Sari;3306160022;Mayungsari;33.06.16.2022
23;Kalijambe;3306160023;Kalijambe;33.06.16.2023
24;Sukowuwuh;3306160024;Sukowuwuh;33.06.16.2024
25;Limbangan;3306160025;Limbangan;33.06.16.2025
26;Nglaris;3306160026;Nglaris;33.06.16.2026
27;Sidomukti;3306160027;Sidomukti;33.06.16.2027
28;Ngasinan;3306160028;Ngasinan;33.06.16.2028
