No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Purwosari;3306090001;Purwosari;33.06.09.2006
2;Karangwuluh;3306090002;Karangwuluh;33.06.09.2005
3;Kebondalem;3306090003;Kebondalem;33.06.09.2001
4;Tuntungpahit;3306090004;Tuntungpait;33.06.09.2002
5;Kiyangkongrejo;3306090005;Kiyangkongrejo;33.06.09.2003
6;Pringgowijayan;3306090006;Pringgowijayan;33.06.09.2012
7;Suren;3306090007;Suren;33.06.09.2004
8;Kepuh;3306090008;Kepuh;33.06.09.2007
9;Majir;3306090009;Majir;33.06.09.2008
10;Semawung Daleman;3306090010;Semawung Daleman;33.06.09.1014
11;Semawung Kembaran;3306090011;Semawung Kembaran;33.06.09.1010
12;Kuwurejo;3306090012;Kuwurejo;33.06.09.2011
13;Sidarum;3306090013;Sidarum;33.06.09.2013
14;Bayem;3306090014;Bayem;33.06.09.1009
15;Katerban;3306090015;Katerban;33.06.09.1017
16;Kutoarjo;3306090016;Kutoarjo;33.06.09.1016
17;Bandung;3306090017;Bandung;33.06.09.1015
18;Sokoharjo;3306090018;Sokoharjo;33.06.09.2021
19;Pacor;3306090019;Pacor;33.06.09.2018
20;Tunggorono;3306090020;Tunggorono;33.06.09.2019
21;Tepus Kulon;3306090021;Tepus Kulon;33.06.09.2020
22;Tepus Wetan;3306090022;Tepus Wetan;33.06.09.2024
23;Kemadu Lor;3306090023;Kemadu Lor;33.06.09.2022
24;Kaligesing;3306090024;Kaligesing;33.06.09.2023
25;Karangrejo;3306090025;Karangrejo;33.06.09.2026
26;Wirun;3306090026;Wirun;33.06.09.2025
27;Tursino;3306090027;Tursino;33.06.09.2027
