No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Siwal;3322031001;Siwal;33.22.17.2010
2;Pager;3322031002;Pager;33.22.17.2006
3;Udanwuh;3322031003;Udanwuh;33.22.17.2011
4;Kener;3322031004;Kener;33.22.17.2003
5;Papringan;3322031005;Papringan;33.22.17.2007
6;Kradenan;3322031006;Kradenan;33.22.17.2004
7;Kaliwungu;3322031007;Kaliwungu;33.22.17.2001
8;Mukiran;3322031008;Mukiran;33.22.17.2005
9;Payungan;3322031009;Payungan;33.22.17.2008
10;Jetis;3322031010;Jetis;33.22.17.2002
11;Rogomulyo;3322031011;Rogomulyo;33.22.17.2009
