No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pranan;3311070001;Pranan;33.11.07.2001
2;Bugel;3311070002;Bugel;33.11.07.2003
3;Karangwuni;3311070003;Karangwuni;33.11.07.2002
4;Ngombakan;3311070004;Ngombakan;33.11.07.2004
5;Bakalan;3311070005;Bakalan;33.11.07.2005
6;Godog;3311070006;Godog;33.11.07.2006
7;Kemasan;3311070007;Kemasan;33.11.07.2007
8;Kenokorejo;3311070008;Kenokorejo;33.11.07.2008
9;Tepisari;3311070009;Tepisari;33.11.07.2009
10;Bulu;3311070010;Bulu;33.11.07.2010
11;Rejosari;3311070011;Rejosari;33.11.07.2011
12;Polokarto;3311070012;Polokarto;33.11.07.2012
13;Mranggen;3311070013;Mranggen;33.11.07.2013
14;Wonorejo;3311070014;Wonorejo;33.11.07.2014
15;Jatisobo;3311070015;Jatisobo;33.11.07.2015
16;Kayuapak;3311070016;Kayuapak;33.11.07.2016
17;Genengsari;3311070017;Genengsari;33.11.07.2017
