No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Penujah;3328080001;Penujah;33.28.08.2001
2;Karang Anyar;3328080002;Karanganyar;33.28.08.2002
3;Tonggara;3328080003;Tonggara;33.28.08.2003
4;Kedungbanteng;3328080004;Kedungbanteng;33.28.08.2004
5;Dukuhjati Wetan;3328080005;Dukuhjati Wetan;33.28.08.2005
6;Sumingkir;3328080006;Sumingkir;33.28.08.2006
7;Margamulya;3328080007;Margamulya;33.28.08.2007
8;Kebandingan;3328080008;Kebandingan;33.28.08.2008
9;Karangmalang;3328080009;Karangmalang;33.28.08.2009
10;Semedo;3328080010;Semedo;33.28.08.2010
