No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wonotirto;3323020002;Wonotirto;33.23.01.2018
2;Pagergunung;3323020003;Pagergunung;33.23.01.2015
3;Wonosari;3323020004;Wonosari;33.23.01.2016
4;Bansari;3323020005;Bansari;33.23.01.2017
5;Pandemulyo;3323020007;Pandemulyo;33.23.01.2011
6;Malangsari;3323020008;Malangsari;33.23.01.2014
7;Mondoretno;3323020009;Mondoretno;33.23.01.2010
8;Pakurejo;3323020010;Pakurejo;33.23.01.2013
9;Pengilon;3323020011;Pengilon;33.23.01.2019
10;Pasuruhan;3323020012;Pasuruan;33.23.01.2012
11;Gondosuli;3323020013;Gondosuli;33.23.01.2006
12;Tegalrejo;3323020014;Tegalrejo;33.23.01.2005
13;Gandurejo;3323020015;Gandurejo;33.23.01.2004
14;Campursari;3323020018;Campursari;33.23.01.2003
15;Tegallurung;3323020019;Tegalurung;33.23.01.2002
16;Bulu;3323020020;Bulu;33.23.01.2001
17;Putat;3323020021;Putat;33.23.01.2008
18;Ngimbrang;3323020022;Ngimbrang;33.23.01.2007
19;Danupayan;3323020023;Danupayan;33.23.01.2009
