No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pagersari;3323031001;Pagersari;33.23.14.2012
2;Losari;3323031002;Losari;33.23.14.2006
3;Legoksari;3323031003;Legoksari;33.23.14.2009
4;Gedegan;3323031004;Gedegan;33.23.14.2011
5;Tlilir;3323031005;Tlilir;33.23.14.2010
6;Tlogomulyo;3323031006;Tlogomulyo;33.23.14.2001
7;Tanjungsari;3323031007;Tanjungsari;33.23.14.2005
8;Kerokan;3323031008;Kerokan;33.23.14.2008
9;Balerejo;3323031009;Balerejo;33.23.14.2007
10;Sriwungu;3323031010;Sriwungu;33.23.14.2003
11;Langgeng;3323031011;Langgeng;33.23.14.2004
12;Candisari;3323031012;Candisari;33.23.14.2002
