No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kepatihan;3312130001;Kepatihan;33.12.11.2003
2;Keloran;3312130002;Keloran;33.12.11.2002
3;Pare;3312130003;Pare;33.12.11.2001
4;Singodutan;3312130004;Singodutan;33.12.11.2006
5;Kaliancar;3312130005;Kaliancar;33.12.11.1007
6;Jendi;3312130006;Jendi;33.12.11.2005
7;Pule;3312130007;Pule;33.12.11.2004
8;Jaten;3312130008;Jaten;33.12.11.2009
9;Gemantar;3312130009;Gemantar;33.12.11.2008
10;Nambangan;3312130010;Nambangan;33.12.11.2010
11;Sendangijo;3312130011;Sendangijo;33.12.11.2011
