No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Aliyan;3510120001;Aliyan;35.10.13.2001
2;Mangir;3510120002;Mangir;35.10.13.2002
3;Gladag;3510120007;Gladag;35.10.13.2006
4;Bubuk;3510120008;Bubuk;35.10.13.2007
5;Kedaleman;3510120009;Kedaleman;35.10.13.2018
6;Lemahbang Dewo;3510120010;Lemahbangdewo;35.10.13.2008
7;Rogojampi;3510120011;Rogojampi;35.10.13.2013
8;Karang Bendo;3510120016;Karangbendo;35.10.13.2012
9;Gitik;3510120017;Gitik;35.10.13.2010
10;Pengantigan;3510120018;Pengatigan;35.10.13.2014
