No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tumpang;3505090001;Tumpang;35.05.14.2001
2;Jabung;3505090002;Jabung;35.05.14.2005
3;Jeblog;3505090003;Jeblog;35.05.14.2004
4;Bendosewu;3505090004;Bendosewu;35.05.14.2006
5;Duren;3505090005;Duren;35.05.14.2010
6;Sragi;3505090006;Sragi;35.05.14.2011
7;Wonorejo;3505090007;Wonorejo;35.05.14.2007
8;Pasirharjo;3505090008;Pasirharjo;35.05.14.2003
9;Kendalrejo;3505090009;Kendalrejo;35.05.14.2002
10;Kamulan;3505090010;Kamulan;35.05.14.1009
11;Talun;3505090011;Talun;35.05.14.1008
12;Bajang;3505090012;Bajang;35.05.14.1013
13;Kaweron;3505090013;Kaweron;35.05.14.1014
14;Jajar;3505090014;Jajar;35.05.14.2012
