No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Babad;3522080001;Babad;35.22.08.2001
2;Pejok;3522080002;Pejok;35.22.08.2002
3;Dayukidul;3522080003;Dayukidul;35.22.08.2003
4;Panjang;3522080004;Panjang;35.22.08.2004
5;Tondomulo;3522080005;Tondomulo;35.22.08.2005
6;Kesongo;3522080006;Kesongo;35.22.08.2006
7;Kendung;3522080007;Kendung;35.22.08.2007
8;Mlideg;3522080008;Mlideg;35.22.08.2008
9;Tumbrasanom;3522080009;Tumbrasanom;35.22.08.2009
10;Kedungadem;3522080010;Kedungadem;35.22.08.2010
11;Duwel;3522080011;Duwel;35.22.08.2011
12;Kepoh Kidul;3522080012;Kepohkidul;35.22.08.2012
13;Geger;3522080013;Geger;35.22.08.2013
14;Kedungrejo;3522080014;Kedungrejo;35.22.08.2014
15;Megale;3522080015;Megale;35.22.08.2015
16;Sidorejo;3522080016;Sidorejo;35.22.08.2016
17;Drokilo;3522080017;Drokilo;35.22.08.2017
18;Mojorejo;3522080018;Mojorejo;35.22.08.2018
19;Jamberejo;3522080019;Jamberejo;35.22.08.2019
20;Sidomulyo;3522080020;Sidomulyo;35.22.08.2020
21;Tlogoagung;3522080021;Tlogoagung;35.22.08.2021
22;Ngrandu;3522080022;Ngrandu;35.22.08.2022
23;Balongcabe;3522080023;Balongcabe;35.22.08.2023
