No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Dukuh Lor;3522210001;Dukohlor;35.22.17.2001
2;Kacangan;3522210002;Kacangan;35.22.17.2002
3;Kemiri;3522210003;Kemiri;35.22.17.2003
4;Petak;3522210004;Petak;35.22.17.2004
5;Kliteh;3522210005;Kliteh;35.22.17.2016
6;Sudah;3522210006;Sudah;35.22.17.2005
7;Ngujung;3522210007;Ngujung;35.22.17.2008
8;Tambakromo;3522210008;Tambakromo;35.22.17.2010
9;Sumberejo;3522210009;Sumberejo;35.22.17.2009
10;Tinawun;3522210010;Tinawun;35.22.17.2011
11;Banaran;3522210011;Banaran;35.22.17.2007
12;Kedungrejo;3522210012;Kedungrejo;35.22.17.2012
13;Ketileng;3522210013;Ketileng;35.22.17.2013
14;Rendeng;3522210014;Rendeng;35.22.17.2006
15;Malo;3522210015;Malo;35.22.17.2014
16;Sukorejo;3522210016;Sukorejo;35.22.17.2015
17;Trembes;3522210017;Trembes;35.22.17.2017
18;Semlaran;3522210018;Semlaran;35.22.17.2018
19;Tanggir;3522210019;Tanggir;35.22.17.2019
20;Tulungagung;3522210020;Tulungagung;35.22.17.2020
