No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Karanganyar;3511150005;Karang Anyar;35.11.14.2005
2;Blimbing;3511150006;Blimbing;35.11.14.2006
3;Karang Sengon;3511150007;Karang Sengon;35.11.14.2007
4;Wonokerto;3511150008;Wonokerto;35.11.14.2008
5;Klabang;3511150009;Klabang;35.11.14.2009
6;Besuk;3511150010;Besuk;35.11.14.2012
7;Klampokan;3511150011;Klampokan;35.11.14.2010
8;Sumbersuko;3511150012;Sumber Suko;35.11.14.2011
9;Pandak;3511150013;Pandak;35.11.14.2013
10;Leprak;3511150014;Leprak;35.11.14.2014
11;Wonoboyo;3511150015;Wonoboyo;35.11.14.2015
