No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lombok Kulon;3511080001;Lombok Kulon;35.11.09.2001
2;Lombok Wetan;3511080002;Lombok Wetan;35.11.09.2002
3;Tumpeng;3511080003;Tumpeng;35.11.09.2003
4;Jumpong;3511080004;Jumpong;35.11.09.2004
5;Tangsil Wetan;3511080005;Tangsil Wetan;35.11.09.2005
6;Pasarejo;3511080006;Pasarejo;35.11.09.2006
7;Bendoarum;3511080007;Bendoarum;35.11.09.2007
8;Kapuran;3511080008;Kapuran;35.11.09.2008
9;Sumberkalong;3511080009;Sumberkalong;35.11.09.2009
10;Traktakan;3511080010;Traktakan;35.11.09.2010
11;Wonosari;3511080011;Wonosari;35.11.09.2011
12;Pelalangan;3511080012;Pelalangan;35.11.09.2012
