No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ambulu;3511130001;Ambulu;35.11.12.2001
2;Bukor;3511130002;Bukor;35.11.12.2002
3;Sumbermalang;3511130003;Sumbermalang;35.11.12.2003
4;Jambewungu;3511130004;Jambewungu;35.11.12.2004
5;Gubrih;3511130005;Gubrih;35.11.12.2005
6;Ampelan;3511130006;Ampelan;35.11.12.2006
7;Banyuwulu;3511130007;Banyuwulu;35.11.12.2008
8;Jatitamban;3511130008;Jatitamban;35.11.12.2007
9;Jatisari;3511130009;Jatisari;35.11.12.2009
10;Glingseran;3511130010;Glingseran;35.11.12.2010
11;Banyuputih;3511130011;Banyuputih;35.11.12.2011
12;Wringin;3511130012;Wringin;35.11.12.2012
13;Sumbercanting;3511130013;Sumbercanting;35.11.12.2013
