No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kebondalem;3517070001;Kebondalem;35.17.04.2001
2;Mundusewu;3517070002;Mundusewu;35.17.04.2002
3;Pakel;3517070003;Pakel;35.17.04.2003
4;Karangan;3517070004;Karangan;35.17.04.2004
5;Ngampungan;3517070005;Ngampungan;35.17.04.2005
6;Jenisgelaran;3517070006;Jenisgelaran;35.17.04.2006
7;Bareng;3517070007;Bareng;35.17.04.2007
8;Tebel;3517070008;Tebel;35.17.04.2008
9;Mojotengah;3517070009;Mojotengah;35.17.04.2009
10;Banjaragung;3517070010;Banjaragung;35.17.04.2010
11;Nglebak;3517070011;Nglebak;35.17.04.2011
12;Pulosari;3517070012;Pulosari;35.17.04.2013
13;Ngrimbi;3517070013;Ngrimbi;35.17.04.2012
