No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Jombok;3517050001;Jombok;35.17.03.2001
2;Genukwatu;3517050002;Genukwatu;35.17.03.2002
3;Rejoagung;3517050003;Rejoagung;35.17.03.2003
4;Kauman;3517050004;Kauman;35.17.03.2004
5;Ngoro;3517050005;Ngoro;35.17.03.2005
6;Badang;3517050006;Badang;35.17.03.2006
7;Pulorejo;3517050007;Pulorejo;35.17.03.2007
8;Banyuarang;3517050008;Banyuarang;35.17.03.2008
9;Sidowarek;3517050009;Sidowarek;35.17.03.2009
10;Kesamben;3517050010;Kesamben;35.17.03.2011
11;Kertorejo;3517050011;Kertorejo;35.17.03.2012
12;Gajah;3517050012;Gajah;35.17.03.2010
13;Sugihwaras;3517050013;Sugihwaras;35.17.03.2013
