No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sidorejo;3506140001;Sidorejo;35.06.17.2001
2;Gedangsewu;3506140002;Gedangsewu;35.06.17.2003
3;Sumberbendo;3506140003;Sumberbendo;35.06.17.2004
4;Darungan;3506140004;Darungan;35.06.17.2005
5;Sambirejo;3506140005;Sambirejo;35.06.17.2002
6;Bendo;3506140006;Bendo;35.06.17.2006
7;Pelem;3506140007;Pelem;35.06.17.2007
8;Tulungrejo;3506140008;Tulungrejo;35.06.17.2008
9;Pare;3506140009;Pare;35.06.17.1009
10;Tertek;3506140010;Tertek;35.06.17.2010
