No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Rancang Kencono;3524130001;Rancangkencono;35.24.22.2001
2;Wajik;3524130002;Wajik;35.24.22.2009
3;Kramat;3524130003;Kramat;35.24.22.2010
4;Sidomukti;3524130004;Sidomukti;35.24.22.2016
5;Tlogoanyar;3524130005;Tlogoanyar;35.24.22.1018
6;Sidoharjo;3524130006;Sidoharjo;35.24.22.1014
7;Sumberjo;3524130007;Sumberjo;35.24.22.2006
8;Sendangrejo;3524130008;Sendangrejo;35.24.22.2005
9;Kebet;3524130009;Kebet;35.24.22.2004
10;Tanjung;3524130010;Tanjung;35.24.22.2007
11;Pangkatrejo;3524130011;Pangkatrejo;35.24.22.2003
12;Karanglangit;3524130012;Karanglangit;35.24.22.2002
13;Plosowahyu;3524130013;Plosowahyu;35.24.22.2008
14;Made;3524130014;Made;35.24.22.2011
15;Sukomulyo;3524130015;Sukomulyo;35.24.22.1013
16;Sukorejo;3524130016;Sukorejo;35.24.22.1012
17;Tumenggungan;3524130017;Tumenggungan;35.24.22.1015
18;Jetis;3524130018;Jetis;35.24.22.1019
19;Banjarmendalan;3524130019;Banjarmendalan;35.24.22.1020
20;Sidokumpul;3524130020;Sidokumpul;35.24.22.1017
