No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bukur;3519150001;Bukur;35.19.09.2001
2;Sambirejo;3519150002;Sambirejo;35.19.09.2002
3;Metesih;3519150003;Metesih;35.19.09.2003
4;Jiwan;3519150004;Jiwan;35.19.09.2004
5;Sukolilo;3519150005;Sukolilo;35.19.09.2005
6;Kincang Wetan;3519150006;Kincang Wetan;35.19.09.2006
7;Kwangsen;3519150007;Kwangsen;35.19.09.2007
8;Grobogan;3519150008;Grobogan;35.19.09.2008
9;Wayut;3519150009;Wayut;35.19.09.2009
10;Klagen Serut;3519150010;Klagenserut;35.19.09.2010
11;Teguhan;3519150011;Teguhan;35.19.09.2011
12;Ngetrep;3519150012;Ngetrep;35.19.09.2012
13;Bedoho;3519150013;Bedoho;35.19.09.2013
14;Bibrik;3519150014;Bibrik;35.19.09.2014
