No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Mantren;3520120004;Mantren;35.20.13.2002
2;Gondang;3520120005;Gondang;35.20.13.2003
3;Sambirembe;3520120006;Sambirembe;35.20.13.2004
4;Patihan;3520120007;Patihan;35.20.13.2005
5;Karangrejo;3520120008;Karangrejo;35.20.13.1001
6;Manisrejo;3520120009;Manisrejo;35.20.13.1006
7;Pelem;3520120010;Pelem;35.20.13.2007
8;Gebyog;3520120017;Gebyog;35.20.13.2009
9;Prampelan;3520120018;Prampelan;35.20.13.2011
10;Grabahan;3520120019;Grabahan;35.20.13.2012
11;Kauman;3520120020;Kauman;35.20.13.2013
12;Maron;3520120021;Maron;35.20.13.2010
13;Baluk;3520120022;Baluk;35.20.13.2008
