No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Getasanyar;3520071001;Getasanyar;35.20.18.2006
2;Sidorejo;3520071002;Sidorejo;35.20.18.2005
3;Durenan;3520071003;Durenan;35.20.18.2004
4;Sambirobyong;3520071004;Sambirobyong;35.20.18.2001
5;Campursari;3520071005;Campursari;35.20.18.2002
6;Kalang;3520071006;Kalang;35.20.18.2003
7;Widorokandang;3520071007;Widorokandang;35.20.18.2010
8;Sidokerto;3520071008;Sidokerto;35.20.18.2009
9;Sumbersawit;3520071009;Sumbersawit;35.20.18.2008
10;Sidomulyo;3520071010;Sidomulyo;35.20.18.2007
