No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lebakharjo;3507090001;Lebakharjo;35.07.06.2001
2;Wirotaman;3507090002;Wirotaman;35.07.06.2002
3;Tamanasri;3507090003;Tamanasri;35.07.06.2003
4;Sonowangi;3507090004;Sonowangi;35.07.06.2013
5;Tirtomarto;3507090005;Tirtomarto;35.07.06.2004
6;Purwoharjo;3507090006;Purwoharjo;35.07.06.2005
7;Sidorenggo;3507090007;Sidorenggo;35.07.06.2006
8;Tirtomoyo;3507090008;Tirtomoyo;35.07.06.2007
9;Tawangagung;3507090009;Tawangagung;35.07.06.2010
10;Simojayan;3507090010;Simojayan;35.07.06.2011
11;Argoyuwono;3507090011;Argoyuwono;35.07.06.2008
12;Mulyoasri;3507090012;Mulyoasri;35.07.06.2009
13;Tamansari;3507090013;Tamansari;35.07.06.2012
