No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sukodono;3507070001;Sukodono;35.07.05.2001
2;Srimulyo;3507070002;Srimulyo;35.07.05.2003
3;Baturetno;3507070003;Baturetno;35.07.05.2004
4;Bumirejo;3507070004;Bumirejo;35.07.05.2005
5;Sumbersuko;3507070005;Sumbersuko;35.07.05.2002
6;Amadanom;3507070006;Amandanom;35.07.05.2006
7;Dampit;3507070007;Dampit;35.07.05.1007
8;Pamotan;3507070008;Pamotan;35.07.05.2008
9;Majangtengah;3507070009;Majangtengah;35.07.05.2009
10;Rembun;3507070010;Rembun;35.07.05.2010
11;Pojok;3507070011;Pojok;35.07.05.2011
12;Jambangan;3507070012;Jambangan;35.07.05.2012
