No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kenongo;3507260001;Kenongo;35.07.17.2003
2;Ngadirejo;3507260002;Ngadirejo;35.07.17.2002
3;Taji;3507260003;Taji;35.07.17.2001
4;Pandansari Lor;3507260004;Pandansari Lor;35.07.17.2006
5;Sukopuro;3507260005;Sukopuro;35.07.17.2005
6;Sidorejo;3507260006;Sidorejo;35.07.17.2004
7;Sukolilo;3507260007;Sukolilo;35.07.17.2011
8;Sidomulyo;3507260008;Sidomulyo;35.07.17.2007
9;Gading Kembar;3507260009;Gadingkembar;35.07.17.2008
10;Kemantren;3507260010;Kemantren;35.07.17.2010
11;Argosari;3507260011;Argosari;35.07.17.2009
12;Slamparejo;3507260012;Slamparejo;35.07.17.2014
13;Kemiri;3507260013;Kemiri;35.07.17.2015
14;Jabung;3507260014;Jabung;35.07.17.2013
15;Gunung Jati;3507260015;Gunungjati;35.07.17.2012
