No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sitiarjo;3507060001;Sitiarjo;35.07.04.2007
2;Tambakrejo;3507060002;Tambakrejo;35.07.04.2014
3;Kedungbanteng;3507060003;Kedungbanteng;35.07.04.2006
4;Tambakasri;3507060004;Tambaksari;35.07.04.2001
5;Tegalrejo;3507060005;Tegalrejo;35.07.04.2002
6;Ringinkembar;3507060006;Ringinkembar;35.07.04.2005
7;Sumberagung;3507060007;Sumberagung;35.07.04.2008
8;Harjokuncaran;3507060008;Harjokuncaran;35.07.04.2010
9;Argotirto;3507060009;Argotirto;35.07.04.2009
10;Ringinsari;3507060010;Ringinsari;35.07.04.2012
11;Druju;3507060011;Druju;35.07.04.2013
12;Sumbermanjing Wetan;3507060012;Sumbermanjing Wetan;35.07.04.2011
13;Klepu;3507060013;Klepu;35.07.04.2004
14;Sekarbanyu;3507060014;Sekarbanyu;35.07.04.2003
15;Sidoasri;3507060015;Sidoasri;35.07.04.2015
