No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sumengko;3518130001;Sumengko;35.18.12.2001
2;Kapas;3518130002;Kapas;35.18.12.1002
3;Blitaran;3518130003;Blitaran;35.18.12.2003
4;Kedung Soko;3518130004;Kedungsoko;35.18.12.2004
5;Nglundo;3518130005;Ngludo;35.18.12.2005
6;Bungur;3518130006;Bungur;35.18.12.2006
7;Sukomoro;3518130007;Sokomoro;35.18.12.1007
8;Pehserut;3518130008;Pehserut;35.18.12.2008
9;Ngrami;3518130009;Ngrami;35.18.12.2009
10;Bagor Wetan;3518130010;Bagor Wetan;35.18.12.2010
11;Putren;3518130011;Putren;35.18.12.2011
12;Ngrengket;3518130012;Ngrengket;35.18.12.2012
