No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Banyupelle;3528070001;Banyupelle;35.28.06.2001
2;Rek Kerrek;3528070002;Rek Kerrek;35.28.06.2002
3;Angsanah;3528070003;Angsanah;35.28.06.2003
4;Akkor;3528070004;Akkor;35.28.06.2004
5;Larangan Badung;3528070005;Larangan Badung;35.28.06.2005
6;Panaan;3528070006;Panaan;35.28.06.2006
7;Potoan Laok;3528070007;Patoan Laok;35.28.06.2007
8;Potoan Daja;3528070008;Patoan Dajah;35.28.06.2008
9;Kacok;3528070009;Kacok;35.28.06.2009
10;Rombuh;3528070010;Rombuh;35.28.06.2010
11;Palengaan Laok;3528070011;Palengaan Laok;35.28.06.2011
12;Palengaan Daja;3528070012;Palengaan Dajah;35.28.06.2012
