No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kolursari;3514150001;Kolursari;35.14.14.1001
2;Kidul Dalem;3514150002;Kiduldalem;35.14.14.1002
3;Pogar;3514150003;Pogar;35.14.14.1003
4;Kauman;3514150004;Kauman;35.14.14.1004
5;Bendo Mungal;3514150005;Bendomungal;35.14.14.1005
6;Kersikan;3514150006;Kersikan;35.14.14.1006
7;Gempeng;3514150007;Gempeng;35.14.14.1007
8;Dermo;3514150008;Dermo;35.14.14.1008
9;Latek;3514150009;Latek;35.14.14.1009
10;Masangan;3514150010;Masangan;35.14.14.2010
11;Raci;3514150011;Raci;35.14.14.2011
12;Kalianyar;3514150012;Kalianyar;35.14.14.1012
13;Manaruwi;3514150013;Manaruwi;35.14.14.2013
14;Kalirejo;3514150014;Kalirejo;35.14.14.1014
15;Tambakan;3514150015;Tambakan;35.14.14.2015
