No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Jatiarjo;3514100001;Jatirejo;35.14.10.2001
2;Watuagung;3514100002;Watuagung;35.14.10.2002
3;Dayurejo;3514100003;Dayurejo;35.14.10.2003
4;Bulukandang;3514100004;Bulukandang;35.14.10.2004
5;Ketanireng;3514100005;Ketanireng;35.14.10.2005
6;Sukolelo;3514100006;Sukolelo;35.14.10.2006
7;Ledug;3514100007;Ledug;35.14.10.1007
8;Pecalukan;3514100008;Pecalukan;35.14.10.1008
9;Prigen;3514100009;Prigen;35.14.10.1009
10;Lumbang Rejo;3514100010;Lumbangrejo;35.14.10.2010
11;Sukoreno;3514100011;Sukoreno;35.14.10.2011
12;Sekarjoho;3514100012;Sekarjoho;35.14.10.2012
13;Gambiran;3514100013;Gambiran;35.14.10.2013
14;Candi Wates;3514100014;Candiwates;35.14.10.2014
