No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pandak;3502110001;Pandak;35.02.11.2001
2;Bulukidul;3502110002;Bulu Kidul;35.02.11.2002
3;Bulak;3502110003;Bulak;35.02.11.2003
4;Ngendut;3502110004;Ngendut;35.02.11.2004
5;Karangpatihan;3502110005;Karangpatihan;35.02.11.2005
6;Sumberejo;3502110006;Sumberejo;35.02.11.2006
7;Ngumpul;3502110007;Ngumpul;35.02.11.2007
8;Ngraket;3502110008;Ngraket;35.02.11.2008
9;Dadapan;3502110009;Dadapan;35.02.11.2009
10;Singkil;3502110010;Singkil;35.02.11.2010
11;Karangan;3502110011;Karangan;35.02.11.2011
12;Bajang;3502110012;Bajang;35.02.11.2012
13;Balong;3502110013;Balong;35.02.11.2013
14;Jalen;3502110014;Jalen;35.02.11.2014
15;Karangmojo;3502110015;Karangmojo;35.02.11.2015
16;Sedarat;3502110016;Sedarat;35.02.11.2016
17;Purworejo;3502110017;Purworejo;35.02.11.2017
18;Tatung;3502110018;Tatung;35.02.11.2018
19;Muneng;3502110019;Muneng;35.02.11.2019
20;Ngampel;3502110020;Ngampel;35.02.11.2020
