No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ngasinan;3502100001;Ngasinan;35.02.09.2001
2;Kutukulon;3502100002;Kutu Kulon;35.02.09.2002
3;Kutuwetan;3502100003;Kutu Wetan;35.02.09.2003
4;Kradenan;3502100004;Kradenan;35.02.09.2004
5;Mojomati;3502100005;Mojomati;35.02.09.2005
6;Coper;3502100006;Coper;35.02.09.2006
7;Mojorejo;3502100007;Mojorejo;35.02.09.2007
8;Karanggebang;3502100008;Karanggebang;35.02.09.2008
9;Jetis;3502100009;Jetis;35.02.09.2009
10;Tegalsari;3502100010;Tegalsari;35.02.09.2010
11;Wonoketro;3502100011;Wonoketro;35.02.09.2011
12;Josari;3502100012;Josari;35.02.09.2012
13;Turi;3502100013;Turi;35.02.09.2013
14;Winong;3502100014;Winong;35.02.09.2014
