No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ganting;3515150001;Ganting;35.15.16.2001
2;Karangbong;3515150002;Karangbong;35.15.16.2002
3;Tebel;3515150003;Tebel;35.15.16.2003
4;Kragan;3515150004;Kragan;35.15.16.2004
5;Gemurung;3515150005;Gemurung;35.15.16.2005
6;Punggul;3515150006;Punggul;35.15.16.2006
7;Sruni;3515150007;Sruni;35.15.16.2010
8;Keboananom;3515150008;Keboananom;35.15.16.2012
9;Keboansikep;3515150009;Keboansikep;35.15.16.2011
10;Gedangan;3515150010;Gedangan;35.15.16.2009
11;Ketajen;3515150011;Ketajen;35.15.16.2008
12;Wedi;3515150012;Wedi;35.15.16.2007
13;Semambung;3515150013;Semambung;35.15.16.2015
14;Sawotratap;3515150014;Sawotratap;35.15.16.2014
15;Bangah;3515150015;Bangah;35.15.16.2013
