No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Larangan Barma;3529160001;Larangan Barma;35.29.17.2011
2;Batuputih Laok;3529160002;Batuputih Laok;35.29.17.2008
3;Batuputih Kenek;3529160003;Batuputih Kenek;35.29.17.2007
4;Aengmerah;3529160004;Aengmerah;35.29.17.2001
5;Tengedan;3529160005;Tengedan;35.29.17.2002
6;Juruan Laok;3529160006;Juruan Laok;35.29.17.2003
7;Juruan Daya;3529160007;Juruan Daya;35.29.17.2004
8;Badur;3529160008;Badur;35.29.17.2005
9;Gedang Gedang;3529160009;Gedang-gedang;35.29.17.2006
10;Batuputih Daya;3529160010;Batuputih Daya;35.29.17.2009
11;Bantelan;3529160011;Bantelan;35.29.17.2010
12;Larangan Kerta;3529160012;Larangan Kerta;35.29.17.2012
13;Bulaan;3529160013;Bulla'an;35.29.17.2013
14;Sergang;3529160014;Sergang;35.29.17.2014
