No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Batubelah Barat;3529140001;Batubellah Barat;35.29.14.2003
2;Batubelah Timur;3529140002;Batubellah Timur;35.29.14.2004
3;Kecer;3529140003;Kecer;35.29.14.2005
4;Bates;3529140004;Bates;35.29.14.2006
5;Bringin;3529140005;Bringin;35.29.14.2007
6;Jelbudan;3529140006;Jelbudan;35.29.14.2008
7;Nyapar;3529140007;Nyapar;35.29.14.2011
8;Mantajun;3529140008;Mantajun;35.29.14.2015
9;Dasuk Laok;3529140009;Dasuk Laok;35.29.14.2014
10;Dasuk Timur;3529140010;Dasuk Timur;35.29.14.2013
11;Dasuk Barat;3529140011;Dasuk Barat;35.29.14.2012
12;Kerta Timur;3529140012;Kerta Timur;35.29.14.2010
13;Kerta Barat;3529140013;Kerta Barat;35.29.14.2009
14;Semaan;3529140014;Semaan;35.29.14.2002
15;Slopeng;3529140015;Slopeng;35.29.14.2001
