No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Watuagung;3503050001;Watuagung;35.03.04.2003
2;Pandean;3503050002;Pandean;35.03.04.2004
3;Salamwates;3503050003;Salamwates;35.03.04.2006
4;Ngerdani;3503050004;Ngerdani;35.03.04.2009
5;Petung;3503050005;Petung;35.03.04.2005
6;Cakul;3503050006;Cakul;35.03.04.2001
7;Siki;3503050007;Siki;35.03.04.2002
8;Dongko;3503050008;Dongko;35.03.04.2007
9;Sumberbening;3503050009;Sumberbening;35.03.04.2008
10;Pringapus;3503050010;Pringapus;35.03.04.2010
