No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ngrayung;3503080001;Ngrayung;35.03.10.2001
2;Jajar;3503080002;Jajar;35.03.10.2005
3;Wonorejo;3503080003;Wonorejo;35.03.10.2002
4;Sukorejo;3503080004;Sukorejo;35.03.10.2003
5;Gandusari;3503080005;Gandusari;35.03.10.2006
6;Wonoanti;3503080006;Wonoanti;35.03.10.2004
7;Widoro;3503080007;Widoro;35.03.10.2007
8;Karanganyar;3503080008;Karanganyar;35.03.10.2008
9;Melis;3503080009;Melis;35.03.10.2009
10;Krandegan;3503080010;Krandegan;35.03.10.2010
11;Sukorame;3503080011;Sukorame;35.03.10.2011
