No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Panggul;3503010;Panggul;35.03.01
2;Munjungan;3503020;Munjungan;35.03.02
3;Watulimo;3503030;Watulimo;35.03.08
4;Kampak;3503040;Kampak;35.03.07
5;Dongko;3503050;Dongko;35.03.04
6;Pule;3503060;Pule;35.03.03
7;Karangan;3503070;Karangan;35.03.06
8;Suruh;3503071;Suruh;35.03.14
9;Gandusari;3503080;Gandusari;35.03.10
10;Durenan;3503090;Durenan;35.03.13
11;Pogalan;3503100;Pogalan;35.03.12
12;Trenggalek;3503110;Trenggalek;35.03.11
13;Tugu;3503120;Tugu;35.03.05
14;Bendungan;3503130;Bendungan;35.03.09
