No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kemlaten;3523060001;Kemlaten;35.23.09.2002
2;Mergoasri;3523060002;Mergoasri;35.23.09.2005
3;Kumpulrejo;3523060003;Kumpulrejo;35.23.09.2006
4;Cengkong;3523060004;Cengkong;35.23.09.2009
5;Brangkal;3523060005;Brangkal;35.23.09.2010
6;Mergorejo;3523060006;Margorejo;35.23.09.2011
7;Selogabus;3523060007;Selogabus;35.23.09.2015
8;Sendangrejo;3523060008;Sendangrejo;35.23.09.2017
9;Mojomalang;3523060009;Mojomalang;35.23.09.2018
10;Sugihwaras;3523060010;Sugihwaras;35.23.09.2016
11;Suciharjo;3523060011;Suciharjo;35.23.09.2013
12;Pacing;3523060012;Pacing;35.23.09.2014
13;Parangbatu;3523060013;Parangbatu;35.23.09.2007
14;Sukorejo;3523060014;Sukorejo;35.23.09.2003
15;Sembung;3523060015;Sembung;35.23.09.2001
16;Ngawun;3523060016;Ngawun;35.23.09.2004
17;Wukirharjo;3523060017;Wukirharjo;35.23.09.2008
18;Dagangan;3523060018;Dagangan;35.23.09.2012
