No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ngranti;3504110001;Ngranti;35.04.02.2005
2;Kendalbulur;3504110002;Kendalbulur;35.04.02.2006
3;Boyolangu;3504110003;Boyolangu;35.04.02.2004
4;Pucung Kidul;3504110004;Pucung Kidul;35.04.02.2003
5;Sanggrahan;3504110005;Sanggrahan;35.04.02.2002
6;Wajak Kidul;3504110006;Wajak Kidul;35.04.02.2001
7;Karangrejo;3504110007;Karangrejo;35.04.02.2011
8;Wajak Lor;3504110008;Wajak Lor;35.04.02.2010
9;Kepuh;3504110009;Kepuh;35.04.02.2012
10;Tanjungsari;3504110010;Tanjungsari;35.04.02.2013
11;Serut;3504110011;Serut;35.04.02.2014
12;Beji;3504110012;Beji;35.04.02.2015
13;Sobontoro;3504110013;Sobontoro;35.04.02.2016
14;Gedangsewu;3504110014;Gedangsewu;35.04.02.2017
15;Moyoketen;3504110015;Moyoketen;35.04.02.2009
16;Waung;3504110016;Waung;35.04.02.2008
17;Bono;3504110017;Bono;35.04.02.2007
