No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kendal;3504170001;Kendal;35.04.09.2001
2;Tawing;3504170002;Tawing;35.04.09.2002
3;Gondosuli;3504170003;Gondosuli;35.04.09.2003
4;Dukuh;3504170004;Dukuh;35.04.09.2004
5;Sepatan;3504170005;Sepatan;35.04.09.2005
6;Macanbang;3504170006;Macanbang;35.04.09.2006
7;Kiping;3504170007;Kiping;35.04.09.2007
8;Rejosari;3504170008;Rejosari;35.04.09.2008
9;Bendo;3504170009;Bendo;35.04.09.2009
10;Ngrendeng;3504170010;Ngrendeng;35.04.09.2010
11;Gondang;3504170011;Gondang;35.04.09.2011
12;Bendungan;3504170012;Bendungan;35.04.09.2012
13;Mojoarum;3504170013;Mojoarum;35.04.09.2017
14;Sidomulyo;3504170014;Sidomulyo;35.04.09.2015
15;Notorejo;3504170015;Notorejo;35.04.09.2013
16;Sidem;3504170016;Sidem;35.04.09.2014
17;Blendis;3504170017;Blendis;35.04.09.2016
18;Tiudan;3504170018;Tiudan;35.04.09.2018
19;Wonokromo;3504170019;Wonokromo;35.04.09.2020
20;Jarakan;3504170020;Jarakan;35.04.09.2019
