No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kalibatur;3504060001;Kalibatur;35.04.14.2001
2;Rejosari;3504060002;Rejosari;35.04.14.2002
3;Sukorejo Kulon;3504060003;Sukorejo Kulon;35.04.14.2003
4;Banyuurip;3504060004;Banyuurip;35.04.14.2006
5;Winong;3504060005;Winong;35.04.14.2007
6;Joho;3504060006;Joho;35.04.14.2008
7;Pakisaji;3504060007;Pakisaji;35.04.14.2009
8;Karangtalun;3504060008;Karangtalun;35.04.14.2005
9;Kalidawir;3504060009;Kalidawir;35.04.14.2004
10;Ngubalan;3504060010;Ngubalan;35.04.14.2013
11;Salak Kembang;3504060011;Salakkembang;35.04.14.2012
12;Tunggangri;3504060012;Tunggangri;35.04.14.2011
13;Jabon;3504060013;Jabon;35.04.14.2010
14;Pagersari;3504060014;Pagersari;35.04.14.2017
15;Betak;3504060015;Betak;35.04.14.2016
16;Tanjung;3504060016;Tanjung;35.04.14.2015
17;Domasan;3504060017;Domasan;35.04.14.2014
