No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Junjung;3504100001;Junjung;35.04.10.2009
2;Podorejo;3504100002;Podorejo;35.04.10.2007
3;Wates;3504100003;Wates;35.04.10.2002
4;Sambidoplang;3504100004;Sambidoplang;35.04.10.2001
5;Mirigambar;3504100005;Mirigambar;35.04.10.2003
6;Trenceng;3504100006;Trenceng;35.04.10.2004
7;Bendilwungu;3504100007;Bendilwungu;35.04.10.2005
8;Sambijajar;3504100008;Sambijajar;35.04.10.2006
9;Tambakrejo;3504100009;Tambakrejo;35.04.10.2010
10;Doroampel;3504100010;Doroampel;35.04.10.2008
11;Wonorejo;3504100011;Wonorejo;35.04.10.2011
12;Bendiljati Kulon;3504100012;Bendiljati Kulon;35.04.10.2012
13;Bendiljati Wetan;3504100013;Bendiljati Wetan;35.04.10.2013
14;Sumberdadi;3504100014;Sumberdadi;35.04.10.2014
15;Jabalsari;3504100015;Jabalsari;35.04.10.2015
16;Sambirobyong;3504100016;Sambirobyong;35.04.10.2016
17;Bukur;3504100017;Bukur;35.04.10.2017
