No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Parang;6108030001;Parang;61.06.08.2005
2;Lubuk Antuk;6108030002;Lubuk Antuk;61.06.08.2004
3;Nanga Tepuai;6108030003;Nanga Tepuai;61.06.08.2001
4;Landau Kumpang;6108030004;Landau Kumpang;61.06.08.2002
5;Nanga Yen;6108030005;Nanga Yen;61.06.08.2003
6;Kelakar;6108030006;Beringin;61.06.08.2011
7;Bugang;6108030007;Bugang;61.06.08.2007
8;Mentawit;6108030008;Mentawit;61.06.08.2008
9;Tani Makmur;6108030009;Tani Makmur;61.06.08.2009
10;Simpang Senara;6108030010;Simpang Senara;61.06.08.2010
11;Beringin;6108030011;Kelakar;61.06.08.2006
12;Sejahtera Mandiri;6108030012;Sejahtera Mandiri;61.06.08.2012
13;Mubung;6108030013;Mubung;61.06.08.2013
14;Tunas Muda;6108030014;Tunas Muda;61.06.08.2014
15;Karya Mandiri;6108030015;Karya Mandiri;61.06.08.2015
16;Karya Mandiri;6108030015;Karya Mandiri;61.06.08.2015
