No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bongkong;6108010001;Bongkong;61.06.15.2009
2;Nanga Nuar;6108010002;Nanga Nuar;61.06.15.2008
3;Setunggul;6108010003;Setunggul;61.06.15.2005
4;Sungai Sena;6108010004;Sungai Sena;61.06.15.2006
5;Miau Merah;6108010005;Miau Merah;61.06.15.2004
6;Pangeran;6108010006;Pangeran;61.06.15.2003
7;Baru;6108010007;Baru;61.06.15.2002
8;Perigi;6108010008;Perigi;61.06.15.2001
9;Penai;6108010009;Penai;61.06.15.2007
10;Seberu;6108010010;Seberu;61.06.15.2010
11;Sentabai;6108010011;Sentabai;61.06.15.2011
12;Rumbih;6108010012;Rumbih;61.06.15.2012
13;Bukit Penai;6108010013;Bukit Penai;61.06.15.2013
14;Bukit Penai;6108010013;Bukit Penai;61.06.15.2013
