No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Nanga Ngeri;6108020001;Nanga Ngeri;61.06.16.2003
2;Landau Badai;6108020002;Landau Badai;61.06.16.2004
3;Nanga Lungu;6108020003;Nanga Lungu;61.06.16.2005
4;Nanga Luan;6108020004;Nanga Luan;61.06.16.2006
5;Belimbing;6108020005;Belimbing;61.06.16.2002
6;Nanga Dangkan;6108020006;Nanga Dangkan;61.06.16.2001
7;Riam Tapang;6108020007;Riam Tapang;61.06.16.2007
8;Dangkan Kota;6108020008;Dangkan Kota;61.06.16.2009
9;Lebak Najah;6108020009;Lebak Najah;61.06.16.2008
10;Perejuk;6108020010;Perjuk;61.06.16.2010
11;Landau Rantau;6108020011;Landau Rantau;61.06.16.2011
12;Entebi;6108020012;Entebi;61.06.16.2012
13;Selangkai;6108020013;Selangkai;61.06.16.2013
14;Selimu;6108020014;Selimu;61.06.16.2014
