No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Biku Sarana;6106040001;Biku Sarana;61.04.14.2005
2;Penyarang;6106040002;Penyarang;61.04.14.2004
3;Periangan;6106040003;Periangan;61.04.14.2001
4;Tanggerang;6106040004;Tanggerang;61.04.14.2002
5;Kesuma Jaya;6106040005;Kesuma Jaya;61.04.14.2003
6;Semantun;6106040006;Semantun;61.04.14.2006
7;Riam Danau Kanan;6106040007;Riam Danau Kanan;61.04.14.2007
8;Limpang;6106040008;Limpang;61.04.14.2008
9;Pasir Mayang;6106040009;Pasir Mayang;61.04.14.2009
10;Tebing Berseri;6106040010;Tebing Berseri;61.04.14.2010
11;Rangga Intan;6106040011;Rangga Intan;61.04.14.2012
12;Deranuk;6106040012;Deranuk;61.04.14.2011
13;Pangkalan Suka;6106040013;Pangkalan Suka;61.04.14.2013
14;Teluk Runjai;6106040014;Teluk Runjai;61.04.14.2014
15;Asam Jelai;6106040015;Asam Jelai;61.04.14.2015
16;Air Dua;6106040016;Air Dua;61.04.14.2016
17;Sidahari;6106040017;Sidahari;61.04.14.2017
18;Karang Dangin;6106040018;Karang Dangin;61.04.14.2019
19;Kusik Batu Lapu;6106040019;Kusik Batu Lapu;61.04.14.2018
20;Perigi;6106040020;Perigi;61.04.14.2020
21;Bayam Raya;6106040021;Bayam Raya;61.04.14.2021
22;Pangkalan Paket;6106040022;Pangkalan Paket;61.04.14.2022
