No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Nanga Kelampai;6106050001;Nanga Kelampai;61.04.13.2005
2;Pemuatan Jaya;6106050002;Pemuatan Jaya;61.04.13.2013
3;Kalimas Baru;6106050003;Kalimas Baru;61.04.13.2009
4;Belaban Tujuh;6106050004;Belaban Tujuh;61.04.13.2020
5;Mahawa;6106050005;Mahawa;61.04.13.2004
6;Serengkah;6106050006;Serengkah;61.04.13.2003
7;Natai Panjang;6106050007;Natai Panjang;61.04.13.2002
8;Tumbang Titi;6106050008;Tumbang Titi;61.04.13.2001
9;Batu Tajam;6106050009;Batu Tajam;61.04.13.2006
10;Sengkaharak;6106050010;Sengkaharak;61.04.13.2016
11;Segar Wangi;6106050022;Segar Wangi;61.04.13.2023
12;Petebang Jaya;6106050023;Petebang Jaya;61.04.13.2024
13;Aur Gading;6106050024;Aur Gading;61.04.13.2025
14;Beringin Rayo;6106050025;Beringin Rayo;61.04.13.2026
15;Titi Baru;6106050026;Titi Baru;61.04.13.2027
16;Tanjung Beulang;6106050027;Tanjung Beulang;61.04.13.2028
17;Batu Beransah;6106050028;Batu Beransak;61.04.13.2029
18;Serengkah Kanan;6106050029;Serengkah Kanan;61.04.13.2030
19;Sepauhan Jaya;6106050030;Sepauhan Raya;61.04.13.2031
20;Jungkal;6106050031;Jungkal;61.04.13.2032
21;Jelayan;6106050032;Jelayan;61.04.13.2033
22;Suka Damai;6106050033;Suka Damai;61.04.13.2035
23;Tanjung Maloi;6106050034;Tanjung Maloi;61.04.13.2036
24;Pengatapan Raya;6106050035;Pengatapan Raya;61.04.13.2034
25;Sepuring Indah;6106050036;Sepuring Indah;61.04.13.2037
