No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Dabung;6112030001;Dabong;61.12.06.2008
2;Kubu;6112030002;Kubu;61.12.06.2001
3;Sungai Terus;6112030003;Sungai Terus;61.12.06.2017
4;Teluk Nangka;6112030004;Teluk Nangka;61.12.06.2013
5;Jangkang I;6112030005;---;---
6;Jangkang Ii;6112030006;Jangkang Dua;61.12.06.2015
7;Pinang Dalam;6112030007;Pinang Dalam;61.12.06.2016
8;Kampung Baru;6112030008;Kampung Baru;61.12.06.2011
9;Olak Olak Kubu;6112030009;Olak-olak;61.12.06.2002
10;Pelita Jaya;6112030010;Pelita Jaya;61.12.06.2018
11;Seruat Iii;6112030011;---;---
12;Seruat Ii;6112030012;Seruat Dua;61.12.06.2006
13;Sungai Selamat;6112030013;Sungai Selamat;61.12.06.2003
14;Ambawang;6112030014;Ambarawa;61.12.06.2009
15;Air Putih;6112030015;Air Putih;61.12.06.2012
16;Pinang Luar;6112030016;Pinang Luar;61.12.06.2005
17;Sei Bemban;6112030017;Sungai Bemban;61.12.06.2004
18;Sepakat Baru;6112030018;Sepakat Baru;61.12.06.2010
19;Mengkalang;6112030019;Mengkalang;61.12.06.2019
20;Mengkalang Jambu;6112030020;Mengkalang Jambu;61.12.06.2020
