No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Nanga Pintas;6110051001;Nanga Pintas;61.10.09.2003
2;Mandau Baru;6110051002;Mandau Baru;61.10.09.2006
3;Nanga Kelawai;6110051003;Nanga Kelawai;61.10.09.2012
4;Senempak;6110051004;Senempak;61.10.09.2002
5;Landau Garong;6110051005;Landau Garong;61.10.09.2004
6;Sungai Bakah;6110051006;Sungai Bakah;61.10.09.2009
7;Nyanggai;6110051007;Nyanggai;61.10.09.2008
8;Bayur Raya;6110051008;Bayur Raya;61.10.09.2010
9;Bina Jaya;6110051009;Bina Jaya;61.10.09.2005
10;Pelinggang;6110051010;Pelinggang;61.10.09.2007
11;Manggala;6110051011;Manggala;61.10.09.2001
12;Landau Tubun;6110051012;Landau Tubun;61.10.09.2011
