No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kumpang Ilong;6109070001;Kumpang Ilong;61.09.06.2006
2;Ijok;6109070002;Ijuk;61.09.06.2004
3;Balai Sepuak;6109070003;Balai Sepuak;61.09.06.2012
4;Tabuk Hulu;6109070004;Tabuk Hulu;61.09.06.2010
5;Batuk Mulau;6109070005;Batuk Mulau;61.09.06.2011
6;Sei Tapah;6109070006;Sungaitapah;61.09.06.2003
7;Seburuk Satu;6109070007;Seburuk Satu;61.09.06.2002
8;Sebetung;6109070008;Sebetung;61.09.06.2001
9;Paket Mulau;6109070009;Pakit Mulau;61.09.06.2009
10;Mengaret;6109070010;Mengaret;61.09.06.2005
11;Terduk Dampak;6109070011;Terduk Dampak;61.09.06.2008
12;Sei Antu Hulu;6109070012;Sungaiantu Hulu;61.09.06.2007
13;Bukit Rambat;6109070013;Bukitrambat;61.09.06.2013
