No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sekonau;6109030001;Sekonau;61.09.02.2007
2;Cupang Gading;6109030002;Cupang Gading;61.09.02.2013
3;Nanga Biaban;6109030003;Nanga Biaban;61.09.02.2014
4;Mondi;6109030004;Mondi;61.09.02.2012
5;Tapang Perodah;6109030005;Tapang Perodah;61.09.02.2010
6;Sungai Sambang;6109030006;Sungaisambang;61.09.02.2011
7;Rawak Hilir;6109030007;Rawak Hilir;61.09.02.2001
8;Rawak Hulu;6109030008;Rawak Hulu;61.09.02.2002
9;Tinting Boyok;6109030009;Tinting Boyok;61.09.02.2006
10;Perongkan;6109030010;Perongkan;61.09.02.2005
11;Nanga Manterap;6109030011;Nanga Menterap;61.09.02.2003
12;Boti;6109030012;Boti;61.09.02.2004
13;Setawar;6109030013;Setawar;61.09.02.2008
14;Nanga Pemubuh;6109030014;Nanga Pembubuh;61.09.02.2009
15;Sunsong;6109030015;Sunsong;61.09.02.2015
