No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Gunung Manau;6311020001;Gunung Manau;63.11.04.2016
2;Tariwin;6311020002;Tariwin;63.11.04.2001
3;Lok Batu;6311020003;Lok Batu;63.11.04.2002
4;Bakung;6311020004;Bakung;63.11.04.2013
5;Karuh;6311020005;Karuh;63.11.04.2014
6;Munjung;6311020006;Munjung;63.11.04.2003
7;Pelajau;6311020007;Pelajau;63.11.04.2004
8;Kasai;6311020008;Kasai;63.11.04.2018
9;Hamparaya;6311020009;Hampa Raya;63.11.04.2017
10;Timbun Tulang;6311020010;Timbun Tulang;63.11.04.2011
11;Teluk Mesjid;6311020011;Teluk Mesjid;63.11.04.2010
12;Batu Mandi;6311020012;Batumandi;63.11.04.2005
13;Bungur;6311020013;Bungur;63.11.04.2009
14;Riwa;6311020014;Riwa;63.11.04.2006
15;Guha;6311020015;Guha;63.11.04.2015
16;Mantimin;6311020016;Mantimin;63.11.04.2007
17;Banua Hanyar;6311020017;Banua Hanyar;63.11.04.2012
18;Mampari;6311020018;Mampari;63.11.04.2008
