No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Binuang Santang;6311060001;Binuang Santang;63.11.02.2015
2;Marajai;6311060002;Marajai;63.11.02.2020
3;Mauya;6311060003;Mauya;63.11.02.2023
4;Mantuyan;6311060004;Mantuyan;63.11.02.2003
5;Tabuan;6311060005;Tabuan;63.11.02.2004
6;Buntut Pilanduk;6311060006;Buntu Pilanduk;63.11.02.2009
7;Uren;6311060007;Uren;63.11.02.2019
8;Mamantang;6311060008;Mamantang;63.11.02.2012
9;Kapul;6311060009;Kapul;63.11.02.2011
10;Halong;6311060010;Halong;63.11.02.2005
11;Binjai Punggal;6311060011;Binjai Punggal;63.11.02.2013
12;Baruh Panyambaran;6311060012;Baruh Panyambaran;63.11.02.2022
13;Binju;6311060013;Binju;63.11.02.2017
14;Bangkal;6311060014;Bangkal;63.11.02.2002
15;Suryatama;6311060015;Suryatama;63.11.02.2021
16;'Ha''uwai';6311060016;Hauwai;63.11.02.2001
17;Karya;6311060017;Karya;63.11.02.2018
18;Puyun;6311060018;Puyun;63.11.02.2008
19;Gunung Riut;6311060019;Gunung Riut;63.11.02.2010
20;Liyu;6311060020;Liyu;63.11.02.2014
21;Aniungan;6311060021;Aniungan;63.11.02.2016
22;Mamigang;6311060022;Mamigang;63.11.02.2026
23;Padang Raya;6311060023;Padang Raya;63.11.02.2024
24;Sumber Agung;6311060024;Sumber Agung;63.11.02.2025
