No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Belangian;6303080001;Belangian;63.03.11.2010
2;Paau;6303080002;Pa'au;63.03.11.2012
3;Kalaan;6303080003;Kala'an;63.03.11.2002
4;Tiwingan Baru;6303080004;Tiwingan Baru;63.03.11.2009
5;Aranio;6303080005;Aranio;63.03.11.2011
6;Tiwingan Lama;6303080006;Tiwingan;63.03.11.2001
7;Benua Riam;6303080007;Benua Riam;63.03.11.2003
8;Artain;6303080008;Artain;63.03.11.2007
9;Bunglai;6303080009;Bunglai;63.03.11.2004
10;Apuai;6303080010;Apuai;63.03.11.2005
11;Rantau Bujur;6303080011;Rantau Bujur;63.03.11.2006
12;Rantau Balai;6303080012;Rantau Balai;63.03.11.2008
