No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pantang Baru;6304150001;Pantang Baru;63.04.12.2011
2;Pantang Raya;6304150002;Pantang Raya;63.04.12.2001
3;Bandar Karya;6304150003;Bandar Karya;63.04.12.2008
4;Tabukan Raya;6304150004;Tabukan Raya;63.04.12.2002
5;Karya Indah;6304150005;Karya Indah;63.04.12.2007
6;Karya Jadi;6304150006;Karya Jadi;63.04.12.2010
7;Karya Makmur;6304150007;Karya Makmur;63.04.12.2009
8;Teluk Tamba;6304150008;Teluk Tamba;63.04.12.2003
9;Tamba Jaya;6304150009;Tamba Jaya;63.04.12.2005
10;Rantau Bamban;6304150010;Rantau Bamban;63.04.12.2004
11;Muara Pulau;6304150011;Muara Pulau;63.04.12.2006
